9:24:54 PM: Executing task ':Application.main()'...

> Task :compileJava
> Task :processResources NO-SOURCE
> Task :classes

> Task :Application.main()
Rune_0 created with Fire:8236, Earth:2745, Water:4900, Dark:99807, Light:15881
Rune_660 created with Fire:5721, Earth:7606, Water:8123, Dark:25743774, Light:21450
Rune_661 created with Fire:4091, Earth:4961, Water:2566, Dark:25787236, Light:11618
Rune_662 created with Fire:4924, Earth:4656, Water:6951, Dark:25825785, Light:16531
Rune_663 created with Fire:5154, Earth:3662, Water:7609, Dark:25864440, Light:16425
Rune_664 created with Fire:5948, Earth:2605, Water:1910, Dark:25909057, Light:10463
Rune_665 created with Fire:9213, Earth:7728, Water:6759, Dark:25940437, Light:23700
Rune_666 created with Fire:1533, Earth:9419, Water:7702, Dark:25976863, Light:18654
Rune_667 created with Fire:2847, Earth:8848, Water:2234, Dark:26018014, Light:13929
Rune_668 created with Fire:3508, Earth:2631, Water:5316, Dark:26061639, Light:11455
Rune_669 created with Fire:5344, Earth:5787, Water:2451, Dark:26103137, Light:13582
Rune_670 created with Fire:7736, Earth:7530, Water:5354, Dark:26137597, Light:20620
Rune_671 created with Fire:6595, Earth:6065, Water:3794, Dark:26176223, Light:16454
Rune_672 created with Fire:9314, Earth:8837, Water:3654, Dark:26209498, Light:21805
Rune_673 created with Fire:2744, Earth:8229, Water:4486, Dark:26249119, Light:15459
Rune_674 created with Fire:4342, Earth:6914, Water:1940, Dark:26291003, Light:13196
Rune_675 created with Fire:6019, Earth:6922, Water:5410, Dark:26327732, Light:18351
Rune_676 created with Fire:5833, Earth:6982, Water:4374, Dark:26365623, Light:17189
Rune_677 created with Fire:3601, Earth:4322, Water:4425, Dark:26408355, Light:12348
Rune_678 created with Fire:4711, Earth:6195, Water:9317, Dark:26443212, Light:20223
Rune_679 created with Fire:5012, Earth:3504, Water:7101, Dark:26482675, Light:15617
Rune_680 created with Fire:4745, Earth:10933, Water:5403, Dark:26516674, Light:21081
Rune_681 created with Fire:5498, Earth:4010, Water:4709, Dark:26557537, Light:14217
Rune_682 created with Fire:4781, Earth:7290, Water:4162, Dark:26596384, Light:16233
Rune_683 created with Fire:2955, Earth:3279, Water:3411, Dark:26641819, Light:9645
Rune_684 created with Fire:10532, Earth:7875, Water:9851, Dark:26668641, Light:28258
Rune_685 created with Fire:4395, Earth:4617, Water:5301, Dark:26709408, Light:14313
Rune_686 created with Fire:8402, Earth:8298, Water:4664, Dark:26743124, Light:21364
Rune_687 created with Fire:7447, Earth:4398, Water:6324, Dark:26780035, Light:18169
Rune_688 created with Fire:5278, Earth:6214, Water:3017, Dark:26820606, Light:14509
Rune_689 created with Fire:6491, Earth:2680, Water:4842, Dark:26861673, Light:14013
Rune_690 created with Fire:1526, Earth:9288, Water:12670, Dark:26893269, Light:23484
Rune_691 created with Fire:1840, Earth:6781, Water:5502, Dark:26934226, Light:14123
Rune_692 created with Fire:4979, Earth:6119, Water:6007, Dark:26972201, Light:17105
Rune_693 created with Fire:3970, Earth:1701, Water:6901, Dark:27014709, Light:12572
Rune_694 created with Fire:2229, Earth:3419, Water:5674, Dark:27058467, Light:11322
Rune_695 created with Fire:3430, Earth:7593, Water:5521, Dark:27097003, Light:16544
Rune_696 created with Fire:8362, Earth:5041, Water:3898, Dark:27134782, Light:17301
Rune_697 created with Fire:9941, Earth:7800, Water:8606, Dark:27163515, Light:26347
Rune_698 created with Fire:5626, Earth:6673, Water:5206, Dark:27201090, Light:17505
Rune_699 created with Fire:3864, Earth:5339, Water:8175, Dark:27238792, Light:17378
Rune_700 created with Fire:6920, Earth:4440, Water:6065, Dark:27276447, Light:17425
Rune_701 created with Fire:4504, Earth:5306, Water:3161, Dark:27318556, Light:12971
Rune_702 created with Fire:4768, Earth:2708, Water:4790, Dark:27361370, Light:12266
Rune_703 created with Fire:3348, Earth:2254, Water:5214, Dark:27405634, Light:10816
Rune_704 created with Fire:7702, Earth:7158, Water:8656, Dark:27437198, Light:23516
Rune_705 created with Fire:3245, Earth:2288, Water:4840, Dark:27481905, Light:10373
Rune_706 created with Fire:4440, Earth:8479, Water:7739, Dark:27516327, Light:20658
Rune_707 created with Fire:6595, Earth:7582, Water:5756, Dark:27551474, Light:19933
Rune_708 created with Fire:6299, Earth:3947, Water:3475, Dark:27592833, Light:13721
Rune_709 created with Fire:3297, Earth:7478, Water:5212, Dark:27631926, Light:15987
Rune_710 created with Fire:1632, Earth:5788, Water:5750, Dark:27673836, Light:13170
Rune_711 created with Fire:5975, Earth:7968, Water:5015, Dark:27709958, Light:18958
Rune_712 created with Fire:7434, Earth:6124, Water:3008, Dark:27748472, Light:16566
Rune_713 created with Fire:2078, Earth:4586, Water:2486, Dark:27794402, Light:9150
Rune_714 created with Fire:3372, Earth:8493, Water:7029, Dark:27830588, Light:18894
Rune_715 created with Fire:4574, Earth:5074, Water:3316, Dark:27872704, Light:12964
Rune_716 created with Fire:8542, Earth:4424, Water:8756, Dark:27906062, Light:21722
Rune_717 created with Fire:7994, Earth:5104, Water:7030, Dark:27941014, Light:20128
Rune_718 created with Fire:8583, Earth:6904, Water:2330, Dark:27978277, Light:17817
Rune_719 created with Fire:5783, Earth:8098, Water:6090, Dark:28013386, Light:19971
Rune_720 created with Fire:4402, Earth:7030, Water:1970, Dark:28055064, Light:13402
Rune_721 created with Fire:4146, Earth:6436, Water:3034, Dark:28096528, Light:13616
Rune_722 created with Fire:1593, Earth:6379, Water:2874, Dark:28140762, Light:10846
Rune_723 created with Fire:7204, Earth:7280, Water:4996, Dark:28176362, Light:19480
Rune_724 created with Fire:10962, Earth:11294, Water:5242, Dark:28203944, Light:27498
Rune_725 created with Fire:8852, Earth:4666, Water:5816, Dark:28239690, Light:19334
Rune_726 created with Fire:6366, Earth:6321, Water:6531, Dark:28275552, Light:19218
Rune_727 created with Fire:8971, Earth:4191, Water:6344, Dark:28311126, Light:19506
Rune_728 created with Fire:8255, Earth:3097, Water:6565, Dark:28348289, Light:17917
Rune_729 created with Fire:7142, Earth:5346, Water:6420, Dark:28384461, Light:18908
Rune_730 created with Fire:5915, Earth:4570, Water:4879, Dark:28424177, Light:15364
Rune_731 created with Fire:11322, Earth:7624, Water:7818, Dark:28452493, Light:26764
Rune_732 created with Fire:6750, Earth:2892, Water:3930, Dark:28494001, Light:13572
Rune_733 created with Fire:5908, Earth:2104, Water:3533, Dark:28537536, Light:11545
Rune_734 created with Fire:5436, Earth:8464, Water:5551, Dark:28573165, Light:19451
Rune_735 created with Fire:6560, Earth:11787, Water:5941, Dark:28603957, Light:24288
Rune_736 created with Fire:4515, Earth:6510, Water:7250, Dark:28640762, Light:18275
Rune_737 created with Fire:5748, Earth:6477, Water:1488, Dark:28682129, Light:13713
Rune_738 created with Fire:3995, Earth:5595, Water:2454, Dark:28725165, Light:12044
Rune_739 created with Fire:6052, Earth:3760, Water:3404, Dark:28767029, Light:13216
Rune_740 created with Fire:3274, Earth:4649, Water:6300, Dark:28807886, Light:14223
Rune_741 created with Fire:2278, Earth:5834, Water:5332, Dark:28849522, Light:13444
Rune_742 created with Fire:3864, Earth:4350, Water:5964, Dark:28890424, Light:14178
Rune_743 created with Fire:1177, Earth:4743, Water:7230, Dark:28932354, Light:13150
Rune_744 created with Fire:5276, Earth:4450, Water:5486, Dark:28972222, Light:15212
Rune_745 created with Fire:3575, Earth:5035, Water:4785, Dark:29013907, Light:13395
Rune_746 created with Fire:3220, Earth:1541, Water:6371, Dark:29057855, Light:11132
Rune_747 created with Fire:6246, Earth:11251, Water:6519, Dark:29088919, Light:24016
Rune_748 created with Fire:7494, Earth:3808, Water:8105, Dark:29124592, Light:19407
Rune_749 created with Fire:7986, Earth:2188, Water:6260, Dark:29163238, Light:16434
Rune_750 created with Fire:6426, Earth:1478, Water:8454, Dark:29201960, Light:16358
Rune_751 created with Fire:2655, Earth:3745, Water:6585, Dark:29244055, Light:12985
Rune_752 created with Fire:7074, Earth:4457, Water:7377, Dark:29280227, Light:18908
Rune_753 created with Fire:6598, Earth:6874, Water:4618, Dark:29317217, Light:18090
Rune_754 created with Fire:10270, Earth:6122, Water:1648, Dark:29354257, Light:18040
Rune_755 created with Fire:2540, Earth:5656, Water:8948, Dark:29392193, Light:17144
Rune_756 created with Fire:6381, Earth:5474, Water:6537, Dark:29428881, Light:18392
Rune_757 created with Fire:1564, Earth:2256, Water:1357, Dark:29478784, Light:5177
Rune_758 created with Fire:3796, Earth:7545, Water:4345, Dark:29518178, Light:15686
Rune_759 created with Fire:4631, Earth:9609, Water:5651, Dark:29553367, Light:19891
Rune_760 created with Fire:4178, Earth:6091, Water:5010, Dark:29593168, Light:15279
Rune_761 created with Fire:5302, Earth:6760, Water:8103, Dark:29628083, Light:20165
Rune_762 created with Fire:5699, Earth:4162, Water:3590, Dark:29669712, Light:13451
Rune_763 created with Fire:10292, Earth:11599, Water:5406, Dark:29697495, Light:27297
Rune_764 created with Fire:7879, Earth:6927, Water:4042, Dark:29733727, Light:18848
Rune_765 created with Fire:7097, Earth:7809, Water:7422, Dark:29766479, Light:22328
Rune_766 created with Fire:6327, Earth:10274, Water:5305, Dark:29799653, Light:21906
Rune_767 created with Fire:6829, Earth:3863, Water:3350, Dark:29840691, Light:14042
Rune_768 created with Fire:5710, Earth:2380, Water:5484, Dark:29882197, Light:13574
Rune_769 created with Fire:7018, Earth:2408, Water:12070, Dark:29915781, Light:21496
Rune_770 created with Fire:10482, Earth:9660, Water:6320, Dark:29944399, Light:26462
Rune_771 created with Fire:4688, Earth:3996, Water:4139, Dark:29986656, Light:12823
Rune_772 created with Fire:4354, Earth:4932, Water:5676, Dark:30026774, Light:14962
Rune_773 created with Fire:4451, Earth:6186, Water:6414, Dark:30064803, Light:17051
Rune_774 created with Fire:5045, Earth:5291, Water:1644, Dark:30107903, Light:11980
Rune_775 created with Fire:5763, Earth:5211, Water:6773, Dark:30145236, Light:17747
Rune_776 created with Fire:2542, Earth:5496, Water:5787, Dark:30186491, Light:13825
Rune_777 created with Fire:2163, Earth:3513, Water:8064, Dark:30227831, Light:13740
Rune_778 created with Fire:3508, Earth:5232, Water:6248, Dark:30267923, Light:14988
Rune_779 created with Fire:4242, Earth:6332, Water:3323, Dark:30309106, Light:13897
Rune_780 created with Fire:6909, Earth:6519, Water:3969, Dark:30346789, Light:17397
Rune_781 created with Fire:5917, Earth:3492, Water:4108, Dark:30388352, Light:13517
Rune_782 created with Fire:5732, Earth:2964, Water:2892, Dark:30431844, Light:11588
Rune_783 created with Fire:4473, Earth:1626, Water:4395, Dark:30476430, Light:10494
Rune_784 created with Fire:2193, Earth:4007, Water:3262, Dark:30522048, Light:9462
Rune_785 created with Fire:3780, Earth:3916, Water:3217, Dark:30566215, Light:10913
Rune_786 created with Fire:4532, Earth:978, Water:1418, Dark:30614367, Light:6928
Rune_787 created with Fire:2883, Earth:2936, Water:3731, Dark:30659897, Light:9550
Rune_788 created with Fire:5457, Earth:5108, Water:10724, Dark:30693688, Light:21289
Rune_789 created with Fire:4638, Earth:6880, Water:7055, Dark:30730195, Light:18573
Rune_790 created with Fire:6189, Earth:4061, Water:7821, Dark:30767204, Light:18071
Rune_791 created with Fire:913, Earth:6079, Water:8063, Dark:30807229, Light:15055
Rune_792 created with Fire:3828, Earth:4736, Water:7912, Dark:30845833, Light:16476
Rune_793 created with Fire:6416, Earth:5379, Water:5816, Dark:30883302, Light:17611
Rune_794 created with Fire:8762, Earth:6414, Water:7270, Dark:30915936, Light:22446
Rune_795 created with Fire:2886, Earth:8025, Water:5118, Dark:30954987, Light:16029
Rune_796 created with Fire:6839, Earth:3016, Water:5303, Dark:30994909, Light:15158
Rune_797 created with Fire:4671, Earth:3837, Water:4431, Dark:31037050, Light:12939
Rune_798 created with Fire:7031, Earth:4420, Water:3495, Dark:31077184, Light:14946
Rune_799 created with Fire:3931, Earth:3823, Water:4699, Dark:31119811, Light:12453
Rune_800 created with Fire:3672, Earth:5552, Water:2960, Dark:31162707, Light:12184
Rune_801 created with Fire:6558, Earth:5226, Water:8526, Dark:31197477, Light:20310
Rune_802 created with Fire:4367, Earth:3994, Water:3491, Dark:31240705, Light:11852
Rune_803 created with Fire:2820, Earth:3783, Water:3674, Dark:31285508, Light:10277
Rune_804 created with Fire:10121, Earth:5058, Water:5268, Dark:31320141, Light:20447
Rune_805 created with Fire:3759, Earth:5460, Water:4945, Dark:31361057, Light:14164
Rune_806 created with Fire:3156, Earth:5483, Water:6999, Dark:31400499, Light:15638
Rune_807 created with Fire:4932, Earth:5369, Water:6969, Dark:31438309, Light:17270
Rune_808 created with Fire:8372, Earth:9090, Water:10741, Dark:31465186, Light:28203
Rune_809 created with Fire:6464, Earth:4128, Water:5418, Dark:31504256, Light:16010
Rune_810 created with Fire:4890, Earth:3569, Water:5881, Dark:31544996, Light:14340
Rune_811 created with Fire:6613, Earth:4493, Water:3670, Dark:31585300, Light:14776
Rune_812 created with Fire:7682, Earth:3838, Water:4596, Dark:31624264, Light:16116
Rune_813 created with Fire:5782, Earth:4976, Water:1214, Dark:31667372, Light:11972
Rune_814 created with Fire:1844, Earth:4572, Water:5533, Dark:31710503, Light:11949
Rune_815 created with Fire:4343, Earth:2557, Water:4474, Dark:31754209, Light:11374
Rune_816 created with Fire:6452, Earth:5290, Water:4451, Dark:31793096, Light:16193
Rune_817 created with Fire:6222, Earth:9699, Water:7422, Dark:31824833, Light:23343
Rune_818 created with Fire:6504, Earth:8226, Water:4220, Dark:31860963, Light:18950
Rune_819 created with Fire:6622, Earth:6150, Water:6342, Dark:31896929, Light:19114
Rune_820 created with Fire:6130, Earth:6601, Water:4061, Dark:31935217, Light:16792
Rune_821 created with Fire:4361, Earth:5153, Water:7737, Dark:31973046, Light:17251
Rune_822 created with Fire:5128, Earth:3313, Water:6376, Dark:32013309, Light:14817
Rune_823 created with Fire:5060, Earth:2565, Water:2199, Dark:32058565, Light:9824
Rune_824 created with Fire:3806, Earth:4067, Water:5865, Dark:32099907, Light:13738
Rune_825 created with Fire:4339, Earth:4688, Water:5795, Dark:32140165, Light:14822
Rune_826 created with Fire:3368, Earth:4345, Water:5883, Dark:32181649, Light:13596
Rune_827 created with Fire:4531, Earth:4070, Water:6801, Dark:32221327, Light:15402
Rune_828 created with Fire:4982, Earth:2552, Water:5161, Dark:32263712, Light:12695
Rune_829 created with Fire:2240, Earth:4351, Water:6545, Dark:32305656, Light:13136
Rune_830 created with Fire:3700, Earth:5976, Water:6192, Dark:32344868, Light:15868
Rune_831 created with Fire:9532, Earth:7754, Water:7630, Dark:32375032, Light:24916
Rune_832 created with Fire:6783, Earth:3420, Water:4662, Dark:32415247, Light:14865
Rune_833 created with Fire:7318, Earth:5290, Water:6923, Dark:32450796, Light:19531
Rune_834 created with Fire:9159, Earth:4561, Water:10808, Dark:32481348, Light:24528
Rune_835 created with Fire:2679, Earth:7590, Water:4889, Dark:32521270, Light:15158
Rune_836 created with Fire:2776, Earth:2798, Water:6192, Dark:32564584, Light:11766
Rune_837 created with Fire:3185, Earth:2587, Water:3846, Dark:32610046, Light:9618
Rune_838 created with Fire:7875, Earth:3742, Water:1525, Dark:32651984, Light:13142
Rune_839 created with Fire:5456, Earth:9838, Water:6954, Dark:32684816, Light:22248
Rune_840 created with Fire:7915, Earth:3592, Water:2091, Dark:32726298, Light:13598
Rune_841 created with Fire:7244, Earth:8106, Water:4968, Dark:32761060, Light:20318
Rune_842 created with Fire:4343, Earth:8304, Water:6545, Dark:32796948, Light:19192
Rune_843 created with Fire:3891, Earth:5014, Water:5908, Dark:32837215, Light:14813
Rune_844 created with Fire:6390, Earth:3840, Water:3100, Dark:32878965, Light:13330
Rune_845 created with Fire:3769, Earth:8881, Water:9215, Dark:32912180, Light:21865
Rune_846 created with Fire:6076, Earth:5852, Water:4572, Dark:32950760, Light:16500
Rune_847 created with Fire:4293, Earth:9579, Water:6059, Dark:32985909, Light:19931
Rune_848 created with Fire:5849, Earth:2653, Water:4716, Dark:33027771, Light:13218
Rune_849 created with Fire:4135, Earth:2209, Water:2842, Dark:33073665, Light:9186
Rune_850 created with Fire:5845, Earth:5978, Water:2520, Dark:33114402, Light:14343
Rune_851 created with Fire:1173, Earth:4204, Water:8791, Dark:33155314, Light:14168
Rune_852 created with Fire:4737, Earth:1319, Water:2968, Dark:33201370, Light:9024
Rune_853 created with Fire:5159, Earth:6567, Water:6118, Dark:33238606, Light:17844
Rune_854 created with Fire:3502, Earth:6311, Water:4653, Dark:33279220, Light:14466
Rune_855 created with Fire:6180, Earth:4831, Water:6479, Dark:33316810, Light:17490
Rune_856 created with Fire:2890, Earth:5010, Water:2381, Dark:33361609, Light:10281
Rune_857 created with Fire:7923, Earth:6835, Water:9312, Dark:33392619, Light:24070
Rune_858 created with Fire:6139, Earth:808, Water:2944, Dark:33437808, Light:9891
Rune_859 created with Fire:5326, Earth:6349, Water:3538, Dark:33477675, Light:15213
Rune_860 created with Fire:6640, Earth:7772, Water:6241, Dark:33512102, Light:20653
Rune_861 created with Fire:9499, Earth:5064, Water:6656, Dark:33545963, Light:21219
Rune_862 created with Fire:3200, Earth:6512, Water:4827, Dark:33586504, Light:14539
Rune_863 created with Fire:7558, Earth:6778, Water:3089, Dark:33624159, Light:17425
Rune_864 created with Fire:7645, Earth:5996, Water:3489, Dark:33662109, Light:17130
Rune_865 created with Fire:6607, Earth:10348, Water:8194, Dark:33692040, Light:25149
Rune_866 created with Fire:1794, Earth:7272, Water:7663, Dark:33730391, Light:16729
Rune_867 created with Fire:3964, Earth:5454, Water:4129, Dark:33771924, Light:13547
Rune_868 created with Fire:8205, Earth:6271, Water:2150, Dark:33810378, Light:16626
Rune_869 created with Fire:5521, Earth:9073, Water:8720, Dark:33842144, Light:23314
Rune_870 created with Fire:5431, Earth:3255, Water:5999, Dark:33882539, Light:14685
Rune_871 created with Fire:2802, Earth:8124, Water:5040, Dark:33921653, Light:15966
Rune_872 created with Fire:6888, Earth:5532, Water:8310, Dark:33956003, Light:20730
Rune_873 created with Fire:6238, Earth:5901, Water:11697, Dark:33987247, Light:23836
Rune_874 created with Fire:3297, Earth:7239, Water:4327, Dark:34027464, Light:14863
Rune_875 created with Fire:5508, Earth:3498, Water:5622, Dark:34067916, Light:14628
Rune_876 created with Fire:5365, Earth:4063, Water:6238, Dark:34107330, Light:15666
Rune_877 created with Fire:6378, Earth:1748, Water:8549, Dark:34145735, Light:16675
Rune_878 created with Fire:3923, Earth:4766, Water:5473, Dark:34186653, Light:14162
Rune_879 created with Fire:8268, Earth:4236, Water:5748, Dark:34223481, Light:18252
Rune_880 created with Fire:6341, Earth:3722, Water:5045, Dark:34263453, Light:15108
Rune_881 created with Fire:3056, Earth:6958, Water:2426, Dark:34306093, Light:12440
Rune_882 created with Fire:4078, Earth:10228, Water:2496, Dark:34344371, Light:16802
Rune_883 created with Fire:6302, Earth:3449, Water:4429, Dark:34385271, Light:14180
Rune_884 created with Fire:4598, Earth:5488, Water:5971, Dark:34424294, Light:16057
Rune_885 created with Fire:6730, Earth:4898, Water:8937, Dark:34458809, Light:20565
Rune_886 created with Fire:7330, Earth:6064, Water:3961, Dark:34496534, Light:17355
Rune_887 created with Fire:5311, Earth:8045, Water:4873, Dark:34533385, Light:18229
Rune_888 created with Fire:4206, Earth:5532, Water:2038, Dark:34576689, Light:11776
Rune_889 created with Fire:4294, Earth:4843, Water:3421, Dark:34619211, Light:12558
Rune_890 created with Fire:5132, Earth:3804, Water:1814, Dark:34663541, Light:10750
Rune_891 created with Fire:5288, Earth:1508, Water:6824, Dark:34705001, Light:13620
Rune_892 created with Fire:2106, Earth:4485, Water:5336, Dark:34748154, Light:11927
Rune_893 created with Fire:8518, Earth:3935, Water:3662, Dark:34787119, Light:16115
Rune_894 created with Fire:4912, Earth:5958, Water:3491, Dark:34827838, Light:14361
Rune_895 created with Fire:6501, Earth:5663, Water:5368, Dark:34865386, Light:17532
Rune_896 created with Fire:6115, Earth:3958, Water:5913, Dark:34904480, Light:15986
Rune_897 created with Fire:3493, Earth:7054, Water:1366, Dark:34947647, Light:11913
Rune_898 created with Fire:9749, Earth:7073, Water:4185, Dark:34981720, Light:21007
Rune_899 created with Fire:7776, Earth:5739, Water:4211, Dark:35019074, Light:17726
Rune_900 created with Fire:2567, Earth:3208, Water:3523, Dark:35064856, Light:9298
Rune_901 created with Fire:4011, Earth:2654, Water:5457, Dark:35107814, Light:12122
Rune_902 created with Fire:7820, Earth:6009, Water:1418, Dark:35147647, Light:15247
Rune_903 created with Fire:3521, Earth:4162, Water:8143, Dark:35186901, Light:15826
Rune_904 created with Fire:1182, Earth:1004, Water:6490, Dark:35233305, Light:8676
Rune_905 created with Fire:1772, Earth:7648, Water:5168, Dark:35273797, Light:14588
Rune_906 created with Fire:5426, Earth:1849, Water:1522, Dark:35320080, Light:8797
Rune_907 created with Fire:4738, Earth:7948, Water:6022, Dark:35356452, Light:18708
Rune_908 created with Fire:6296, Earth:1720, Water:3294, Dark:35400222, Light:11310
Rune_909 created with Fire:2712, Earth:4072, Water:2812, Dark:35445706, Light:9596
Rune_910 created with Fire:4117, Earth:3937, Water:4136, Dark:35488596, Light:12190
Rune_911 created with Fire:2948, Earth:6170, Water:3150, Dark:35531408, Light:12268
Rune_912 created with Fire:1861, Earth:4500, Water:2325, Dark:35577802, Light:8686
Rune_913 created with Fire:8737, Earth:3539, Water:1961, Dark:35618645, Light:14237
Rune_914 created with Fire:6374, Earth:4574, Water:7667, Dark:35655110, Light:18615
Rune_915 created with Fire:6684, Earth:7988, Water:7670, Dark:35687848, Light:22342
Rune_916 created with Fire:5641, Earth:2781, Water:1069, Dark:35733437, Light:9491
Rune_917 created with Fire:2540, Earth:7441, Water:3782, Dark:35774754, Light:13763
Rune_918 created with Fire:4041, Earth:6258, Water:3990, Dark:35815545, Light:14289
Rune_919 created with Fire:3364, Earth:5235, Water:5697, Dark:35856329, Light:14296
Rune_920 created with Fire:9172, Earth:4056, Water:8345, Dark:35889836, Light:21573
Rune_921 created with Fire:2676, Earth:6746, Water:5724, Dark:35929770, Light:15146
Rune_922 created with Fire:8524, Earth:7682, Water:5040, Dark:35963604, Light:21246
Rune_923 created with Fire:9508, Earth:6376, Water:8478, Dark:35994322, Light:24362
Rune_924 created with Fire:7888, Earth:5989, Water:4798, Dark:36030727, Light:18675
Rune_925 created with Fire:5312, Earth:2982, Water:6394, Dark:36071119, Light:14688
Rune_926 created with Fire:7075, Earth:6913, Water:3970, Dark:36108241, Light:17958
Rune_927 created with Fire:5169, Earth:5561, Water:7544, Dark:36145047, Light:18274
Rune_928 created with Fire:3301, Earth:5470, Water:3783, Dark:36187573, Light:12554
Rune_929 created with Fire:5156, Earth:6050, Water:7776, Dark:36223671, Light:18982
Rune_930 created with Fire:5249, Earth:5415, Water:5224, Dark:36262863, Light:15888
Rune_931 created with Fire:4970, Earth:1762, Water:7333, Dark:36303878, Light:14065
Rune_932 created with Fire:5703, Earth:4020, Water:3881, Dark:36345354, Light:13604
Rune_933 created with Fire:8064, Earth:5733, Water:5677, Dark:36380960, Light:19474
Rune_934 created with Fire:5128, Earth:1107, Water:2270, Dark:36427535, Light:8505
Rune_935 created with Fire:6587, Earth:7162, Water:11231, Dark:36457635, Light:24980
Rune_936 created with Fire:5035, Earth:3023, Water:4061, Dark:36500596, Light:12119
Rune_937 created with Fire:6879, Earth:11721, Water:6709, Dark:36530367, Light:25309
Rune_938 created with Fire:6063, Earth:4460, Water:6896, Dark:36568028, Light:17419
Rune_939 created with Fire:4681, Earth:9150, Water:5340, Dark:36603937, Light:19171
Rune_940 created with Fire:5442, Earth:6139, Water:3742, Dark:36643694, Light:15323
Rune_941 created with Fire:5227, Earth:6596, Water:7101, Dark:36679850, Light:18924
Rune_942 created with Fire:2785, Earth:6943, Water:6174, Dark:36719028, Light:15902
Rune_943 created with Fire:6173, Earth:2349, Water:4563, Dark:36761023, Light:13085
Rune_944 created with Fire:5630, Earth:3486, Water:4186, Dark:36802801, Light:13302
Rune_945 created with Fire:8877, Earth:6145, Water:7364, Dark:36835495, Light:22386
Rune_946 created with Fire:11237, Earth:8075, Water:8358, Dark:36862905, Light:27670
Rune_947 created with Fire:4855, Earth:4245, Water:3989, Dark:36904896, Light:13089
Rune_948 created with Fire:5408, Earth:3492, Water:3056, Dark:36948020, Light:11956
Rune_949 created with Fire:4972, Earth:5316, Water:8762, Dark:36984050, Light:19050
Rune_950 created with Fire:4301, Earth:5608, Water:6429, Dark:37022792, Light:16338
Rune_951 created with Fire:8411, Earth:5644, Water:5891, Dark:37057926, Light:19946
Rune_952 created with Fire:5194, Earth:5044, Water:5786, Dark:37096982, Light:16024
Rune_953 created with Fire:3662, Earth:5218, Water:2664, Dark:37140518, Light:11544
Rune_954 created with Fire:4921, Earth:2984, Water:4670, Dark:37183023, Light:12575
Rune_955 created with Fire:3672, Earth:8448, Water:5162, Dark:37220821, Light:17282
Rune_956 created with Fire:4985, Earth:4165, Water:7294, Dark:37259457, Light:16444
Rune_957 created with Fire:3825, Earth:5779, Water:6732, Dark:37298201, Light:16336
Rune_958 created with Fire:7212, Earth:9488, Water:5768, Dark:37330813, Light:22468
Rune_959 created with Fire:2615, Earth:3360, Water:5350, Dark:37374568, Light:11325
Rune_960 created with Fire:6927, Earth:7469, Water:6712, Dark:37408540, Light:21108
Rune_961 created with Fire:8054, Earth:6429, Water:5484, Dark:37443653, Light:19967
Rune_962 created with Fire:3334, Earth:5276, Water:5600, Dark:37484523, Light:14210
Rune_963 created with Fire:5064, Earth:2546, Water:8308, Dark:37523685, Light:15918
Rune_964 created with Fire:5226, Earth:5386, Water:5497, Dark:37562656, Light:16109
Rune_965 created with Fire:7990, Earth:5260, Water:5977, Dark:37598509, Light:19227
Rune_966 created with Fire:5225, Earth:5107, Water:10153, Dark:37633104, Light:20485
Rune_967 created with Fire:4753, Earth:3364, Water:3272, Dark:37676795, Light:11389
Rune_968 created with Fire:6642, Earth:8198, Water:3160, Dark:37713875, Light:18000
Rune_969 created with Fire:2920, Earth:5882, Water:3053, Dark:37757100, Light:11855
Rune_970 created with Fire:8813, Earth:6371, Water:4084, Dark:37792912, Light:19268
Rune_971 created with Fire:5084, Earth:7457, Water:5231, Dark:37830220, Light:17772
Rune_972 created with Fire:4714, Earth:8933, Water:4888, Dark:37866765, Light:18535
Rune_973 created with Fire:4812, Earth:3410, Water:4149, Dark:37909474, Light:12371
Rune_974 created with Fire:3521, Earth:4549, Water:2941, Dark:37953543, Light:11011
Rune_975 created with Fire:3826, Earth:6466, Water:2608, Dark:37995723, Light:12900
Rune_976 created with Fire:6889, Earth:4602, Water:4253, Dark:38035059, Light:15744
Rune_977 created with Fire:4800, Earth:4720, Water:6144, Dark:38074475, Light:15664
Rune_978 created with Fire:3301, Earth:3948, Water:4866, Dark:38117440, Light:12115
Rune_979 created with Fire:4375, Earth:7194, Water:3203, Dark:38157748, Light:14772
Rune_980 created with Fire:5221, Earth:3523, Water:3307, Dark:38200777, Light:12051
Rune_981 created with Fire:4253, Earth:4607, Water:2946, Dark:38244051, Light:11806
Rune_982 created with Fire:6644, Earth:3353, Water:3913, Dark:38285221, Light:13910
Rune_983 created with Fire:3968, Earth:5948, Water:8580, Dark:38321805, Light:18496
Rune_984 created with Fire:5594, Earth:5664, Water:7379, Dark:38358248, Light:18637
Rune_985 created with Fire:8134, Earth:5159, Water:4847, Dark:38395188, Light:18140
Rune_986 created with Fire:3733, Earth:6751, Water:6998, Dark:38432786, Light:17482
Rune_987 created with Fire:7634, Earth:3816, Water:8866, Dark:38467550, Light:20316
Rune_988 created with Fire:2800, Earth:3154, Water:6156, Dark:38510520, Light:12110
Rune_989 created with Fire:8449, Earth:8276, Water:4350, Dark:38544525, Light:21075
